"","Species","Region","Time","Value","Metric","Description","Units.x","AssessmentYear","max_year","facet","Var","Units.y","EPU","Val","missing","n_data_points","pval","slope","sig"
"1","Atlantic cod","Gulf of Maine",1999,3878,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",2.27735818895879,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"2","Atlantic cod","Gulf of Maine",2000,6581,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.79262114622353,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"3","Atlantic cod","Gulf of Maine",2001,8600,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",2.11622966713327,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"4","Atlantic cod","Gulf of Maine",2002,7142,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",2.3616977925468,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"5","Atlantic cod","Gulf of Maine",2003,6686,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.4620638538459,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"6","Atlantic cod","Gulf of Maine",2004,7005,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.74249124173379,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"7","Atlantic cod","Gulf of Maine",2005,7088,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.99949717344967,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"8","Atlantic cod","Gulf of Maine",2006,4264,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",2.17492238806272,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"9","Atlantic cod","Gulf of Maine",2007,5966,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",2.1250134746904,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"10","Atlantic cod","Gulf of Maine",2008,8303,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.83824068400577,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"11","Atlantic cod","Gulf of Maine",2009,9485,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.77017086236796,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"12","Atlantic cod","Gulf of Maine",2010,9100,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",2.19129225629337,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"13","Atlantic cod","Gulf of Maine",2011,8007,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",2.05160649598365,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"14","Atlantic cod","Gulf of Maine",2012,4204,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.78928323312871,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"15","Atlantic cod","Gulf of Maine",2013,2723,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",2.19696549767246,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"16","Atlantic cod","Gulf of Maine",2014,1806,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.72491401469114,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"17","Atlantic cod","Gulf of Maine",2015,420,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.88710286191304,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"18","Atlantic cod","Gulf of Maine",2016,850,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",0.373275619592187,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"19","Atlantic cod","Gulf of Maine",2017,1171,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.53387749716651,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"20","Atlantic cod","Gulf of Maine",2018,753,"Catch","Total Catch","Metric Tons",2019,2019,"Catch
Total Catch
Metric Tons","Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",2.09026009767404,FALSE,20,0.153371168623679,2352.1926015316,FALSE
"21",NA,NA,2019,NA,NA,NA,NA,NA,NA,NA,"Ich_Shannon-Wiener_Diversity_index
Unitless","Unitless","GOM",1.3276940604644,TRUE,0,NA,NA,NA
