"","Species","Region","Time","Value","Metric","Latitude_degreesN","Longitude_degreesW","along_shelf_distance_km","Recruitment","recreational_CPUE_number_of_fish_caught_per_day_fished_all_species"
"1","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1982,360459,"Abundance",40.22615099,-70.98198855,792.6093421,495.179992675781,7.27647105785162
"2","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1983,393831,"Abundance",40.35608863,-70.90573945,808.0424258,2030.19995117188,5.78752805584714
"3","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1984,583088,"Abundance",40.22562795,-71.16860054,781.9913976,89.2399978637695,5.20611040014539
"4","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1985,525549,"Abundance",40.36599576,-70.75694284,817.1288996,137.460006713867,6.76055976410869
"5","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1986,411664,"Abundance",40.33593084,-70.80416542,812.2781223,85.7200012207031,8.41133752735727
"6","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1987,338213,"Abundance",40.37428663,-70.78087501,817.1158713,114.569999694824,6.16777649341004
"7","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1988,326577,"Abundance",40.45073261,-70.86739158,817.6219601,369.209991455078,4.95745297309715
"8","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1989,258213,"Abundance",40.29854875,-71.01460882,796.5941413,517.580017089844,4.13767980795599
"9","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1990,245469,"Abundance",40.30155783,-70.97489654,798.7623034,102.809997558594,3.18951244311742
"10","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1991,177878,"Abundance",40.41864141,-70.77690834,820.0910545,171.630004882812,3.43615713682841
"11","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1992,158500,"Abundance",40.47955686,-70.72420001,828.446039,180.570007324219,2.91931103692896
"12","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1993,122523,"Abundance",40.36139547,-70.74041936,817.3058002,35.2099990844727,2.44110948570262
"13","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1994,113974,"Abundance",40.51182101,-70.50702448,843.6565816,152.070007324219,2.53823378500309
"14","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1995,104193,"Abundance",40.67657842,-70.49086837,858.3141769,179.059997558594,2.09285325320061
"15","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1996,100988,"Abundance",40.40761369,-70.61213514,828.8794512,165.479995727539,1.7818406637159
"16","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1997,97210,"Abundance",40.46034533,-70.73484896,826.4137543,205.279998779297,2.01429356438314
"17","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1998,82218,"Abundance",40.58397623,-70.71977025,838.0346349,94.2300033569336,1.79260316828951
"18","Atlantic mackerel","Gulf of Maine / Cape Hatteras",1999,181497,"Abundance",40.48861163,-70.68643348,831.5220071,163.229995727539,1.9499994572924
"19","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2000,268593,"Abundance",40.67540363,-70.46292463,859.7844628,1222.76000976562,2.38501518124824
"20","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2001,255991,"Abundance",40.53551709,-70.56903206,842.540767,196.639999389648,2.11913563781022
"21","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2002,226488,"Abundance",40.71166794,-70.50113143,860.6596093,152.429992675781,2.20100690144608
"22","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2003,172130,"Abundance",40.59326909,-70.49614997,851.666238,349.940002441406,2.43994708716007
"23","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2004,149476,"Abundance",40.43264261,-70.74083783,823.4554738,743.559997558594,2.23179050013897
"24","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2005,129322,"Abundance",40.46426535,-70.5168912,839.2541229,196.990005493164,2.00177382992635
"25","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2006,103390,"Abundance",40.65232782,-70.50544152,855.8629659,380.029998779297,2.06771668484637
"26","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2007,66969,"Abundance",40.522895,-70.4982223,844.7495694,99.129997253418,2.1508140608002
"27","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2008,43732,"Abundance",40.64940364,-70.47681277,856.632906,216.940002441406,2.31398879257961
"28","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2009,24001,"Abundance",40.59044988,-70.54315837,848.6868181,156.779998779297,1.86641432356701
"29","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2010,16899,"Abundance",40.54577301,-70.58712033,841.6310066,18.0400009155273,2.83972571969491
"30","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2011,16837,"Abundance",40.48660363,-70.62489092,834.7560009,115.779998779297,2.61064653890135
"31","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2012,18849,"Abundance",40.79419136,-70.55718802,864.6159013,82.8499984741211,2.66219618460158
"32","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2013,17007,"Abundance",40.7457291,-70.33436727,873.4671619,37.7900009155273,3.4275632097748
"33","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2014,24328,"Abundance",41.068272,-70.09433965,914.2246527,91.2399978637695,2.79152578434186
"34","Atlantic mackerel","Gulf of Maine / Cape Hatteras",2015,43519,"Abundance",40.70259772,-70.34962414,868.7240872,162.720001220703,2.76964968292129
